"Name","Ripples","Locations","Notes"
"Anglerfish","Gold","Forgotten Lands",""
"Bass","None or White","Peaceful Meadow
 Forest of Valor
 Sunlit Plateau
 Frosted Heights
 Oasis
 Wild Tangle",""
"Bream","Blue","Peaceful Meadow",""
"Brilliant Blue Starfish","Gold","The Oasis",""
"Carp","Blue, can be White","Forest of Valor
 Sunlit Plateau",""
"Catfish","Gold","Peaceful Meadow",""
"Cod","None or White","Dazzle Beach
 Forgotten Lands
 Glade of Trust
 The Docks
 The Overlook
 Everafter
 Glamour Gulch",""
"Crab","Blue, can be White","Frosted Heights
 Wishing Alps",""
"Dunebopper","Blue","The Oasis",""
"Electric Eel","Gold","The Grasslands
 The Promenade",""
"Flying Fish","None, can be White","Mythopia",""
"Fugu","Gold","Dazzle Beach","Requires rain"
"Here and There Fish","None, can be White","Peaceful Meadow
 Dazzle Beach
 Glade of Trust
 Forest of Valor
 Sunlit Plateau
 Frosted Heights
 Forgotten Lands","Requires morning (6-10am) or evening (6-10pm) after completing  Here and There and Back Again"
"Herring","White","Dazzle Beach
 Glade of Trust",""
"Hippocampus","White, can be Blue","Mythopia",""
"Jellied Fish","Gold","Glamour Gulch",""
"Kingfish","Blue","Dazzle Beach","Requires night (6pm-5am)"
"Koi","None","The Bind",""
"Lancetfish","Blue,can be White","Forgotten Lands",""
"Lamprey","Gold","Everafter",""
"Lobster","Gold","Glade of Trust",""
"Measuring-Tape Snail","White","Glamour Gulch",""
"Mountain Whitefish","White, can be None","Wishing Alps",""
"Mussel","None","Mythopia",""
"Octopus","Blue, can be White","The Docks
 The Overlook",""
"Perch","Blue, can be White","Forest of Valor
 Sunlit Plateau
 The Grove
 The Lagoon",""
"Pike","Gold","Forest of Valor",""
"Piranha","Gold","The Lagoon",""
"Pirarucu","Blue","The Grasslands
 The Promenade
 The Grove
 The Lagoon",""
"Pretty Pink Starfish","Gold","The Oasis",""
"Prisma Shrimp","Gold","The Grove",""
"Rainbow Trout","White","Peaceful Meadow
 Forest of Valor
 Everafter",""
"Red Alpine Bass","Gold","Wishing Alps",""
"Robot Fish","Gold","The Docks
 The Overlook",""
"Salmon","White, can be Blue","Frosted Heights
 Sunlit Plateau
 The Grasslands
 The Promenade",""
"Sand Fish","None, can be White","The Plains
 The Wastes
 The Borderlands",""
"Sand Worm","Gold","The Plains
 The Wastes
 The Borderlands",""
"Satin-Finned Betta","Blue","Glamour Gulch",""
"Scorpion","Blue (Pink)","The Plains
 The Wastes
 The Borderlands",""
"Sea Snail","Blue, can be White","The Docks
 The Overlook",""
"Sea Wolf","White, can be Blue","The Bind",""
"Shad","White","The Docks
 The Overlook",""
"Shrimp","Blue, can be White","Dazzle Beach",""
"Skeleton Fish","White, can be Blue (Pink)","The Plains
 The Wastes
 The Borderlands",""
"Sole","White, can be Blue","Forgotten Lands
 The Docks
 The Overlook",""
"Sorcerer Hat Hermit Crab","Gold","The Bind",""
"Squid","Blue, can be White","Glade of Trust
 Forgotten Lands
 Mythopia",""
"Stygian Mudskipper","Gold","Mythopia",""
"Swordfish","Gold","Dazzle Beach",""
"Tigger Fish","Gold","Pixie Acres",""
"Tilapia","Blue, can be White","Sunlit Plateau
 Frosted Heights
 Pixie Acres",""
"Tuna","White, can be Blue","Forgotten Lands
 Glade of Trust
 The Bind
 Wishing Alps",""
"Walleye","Gold","Sunlit Plateau",""
"White Sturgeon","Gold","Frosted Heights",""
